Column1,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
340,Daylight,Lover,2019/8/23,18,1fzAuUVbzlhZ1lJAx9PtY6,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,0.265,78,293453
341,...Ready For It?,reputation,2017/11/10,1,2yLa0QULdQr0qAIvVwN6B5,spotify:track:2yLa0QULdQr0qAIvVwN6B5,0.0527,0.613,0.764,0,0.197,-6.509,0.136,160.015,0.417,82,208186
342,End Game,reputation,2017/11/10,2,2x0WlnmfG39ZuDmstl9xfX,spotify:track:2x0WlnmfG39ZuDmstl9xfX,0.00845,0.649,0.589,0,0.108,-6.237,0.0558,159.073,0.151,74,244826
343,I Did Something Bad,reputation,2017/11/10,3,4svZDCRz4cJoneBpjpx8DJ,spotify:track:4svZDCRz4cJoneBpjpx8DJ,0.0679,0.696,0.602,0.0000211,0.0696,-6.156,0.159,82.989,0.305,75,238253
344,Don’t Blame Me,reputation,2017/11/10,4,1R0a2iXumgCiFb7HEZ7gUE,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,0.106,0.615,0.534,0.0000176,0.0607,-6.719,0.0386,135.917,0.193,85,236413
345,Delicate,reputation,2017/11/10,5,6NFyWDv5CjfwuzoCkw47Xf,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,0.0499,81,232253
346,Look What You Made Me Do,reputation,2017/11/10,6,1P17dC1amhFzptugyAO7Il,spotify:track:1P17dC1amhFzptugyAO7Il,0.204,0.766,0.709,0.0000141,0.126,-6.471,0.123,128.07,0.506,81,211853
347,So It Goes...,reputation,2017/11/10,7,5PxFv9yJEg9dxvbZggykro,spotify:track:5PxFv9yJEg9dxvbZggykro,0.122,0.574,0.61,0.0000011,0.13,-7.283,0.0732,74.957,0.374,69,227906
348,Gorgeous,reputation,2017/11/10,8,1ZY1PqizIl78geGM4xWlEA,spotify:track:1ZY1PqizIl78geGM4xWlEA,0.0713,0.8,0.535,0.00000948,0.213,-6.684,0.135,92.027,0.451,76,209680
349,Getaway Car,reputation,2017/11/10,9,0VE4kBnHJUgtMf0dy6DRmW,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,0.00465,0.562,0.689,0.00000223,0.0888,-6.745,0.127,172.054,0.351,79,233626
350,King Of My Heart,reputation,2017/11/10,10,7HuBDWi18s4aJM8UFnNheH,spotify:track:7HuBDWi18s4aJM8UFnNheH,0.00882,0.675,0.703,0.00000221,0.0391,-7.902,0.0382,110.01,0.314,72,214320
351,Dancing With Our Hands Tied,reputation,2017/11/10,11,7I7JbDv63ZJJsSi24DyJrz,spotify:track:7I7JbDv63ZJJsSi24DyJrz,0.0604,0.624,0.691,0.000011,0.138,-6.686,0.196,160.024,0.284,72,211506
352,Dress,reputation,2017/11/10,12,6oVxXO5oQ4pTpO8RSnkzvv,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,0.0329,0.719,0.469,0,0.169,-8.792,0.0533,120.085,0.0851,75,230373
353,This Is Why We Can't Have Nice Things,reputation,2017/11/10,13,07NxDD1iKCHbAldceD7QLP,spotify:track:07NxDD1iKCHbAldceD7QLP,0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,0.438,70,207133
354,Call It What You Want,reputation,2017/11/10,14,1GwMQaZz6Au3QLDbjbMdme,spotify:track:1GwMQaZz6Au3QLDbjbMdme,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,75,203506
355,New Year’s Day,reputation,2017/11/10,15,7F5oktn5YOsR9eR5YsFtqb,spotify:track:7F5oktn5YOsR9eR5YsFtqb,0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,0.23,70,235466
421,Welcome To New York,1989,2014/1/1,1,10nqz67NQWWa7XPq7ycihi,spotify:track:10nqz67NQWWa7XPq7ycihi,0.038,0.793,0.634,0.00000176,0.304,-4.807,0.0324,117.023,0.615,59,212600
422,Blank Space,1989,2014/1/1,2,2ls70nUDfjzm1lSRDuKxmw,spotify:track:2ls70nUDfjzm1lSRDuKxmw,0.085,0.752,0.678,0.00000164,0.13,-5.421,0.0646,96.009,0.583,60,231826
423,Style,1989,2014/1/1,3,71PmZqBXH0RUETqxpwlV0w,spotify:track:71PmZqBXH0RUETqxpwlV0w,0.00256,0.598,0.786,0.00143,0.117,-5.572,0.0382,95.021,0.456,56,231000
424,Out Of The Woods,1989,2014/1/1,4,7EpVQjqtKygiwJIASxMWNg,spotify:track:7EpVQjqtKygiwJIASxMWNg,0.00103,0.552,0.841,0.0000123,0.337,-6.938,0.0372,91.993,0.342,46,235800
425,All You Had To Do Was Stay,1989,2014/1/1,5,4NNolUeL5m2ju7kf8pdg6H,spotify:track:4NNolUeL5m2ju7kf8pdg6H,0.00196,0.602,0.735,0.0000477,0.105,-5.778,0.0337,96.969,0.472,53,193293
426,Shake It Off,1989,2014/1/1,6,1kKlhuQE0HXp1IwBRpaH2P,spotify:track:1kKlhuQE0HXp1IwBRpaH2P,0.0561,0.648,0.785,0,0.148,-5.414,0.165,160.02,0.943,53,219200
